"","country","ISO3","region_name","year","indicator_name","value","unit_of_measure"
"1","Aruba","ABW","Latin America & Caribbean",2006,"Mean BMI, adults (age 18+)",29.5,"BMI"
"2","United Arab Emirates","ARE","Middle East & North Africa",2003,"Mean BMI, adults (age 18+)",26.1998710632324,"BMI"
"3","Armenia","ARM","Europe & Central Asia",2016,"Mean BMI, adults (age 18+)",25.8,"BMI"
"4","American Samoa","ASM","East Asia & Pacific",2004,"Mean BMI, adults (age 18+)",34.9,"BMI"
"5","Australia","AUS","East Asia & Pacific",2012,"Mean BMI, adults (age 18+)",26.8035621643066,"BMI"
"6","Azerbaijan","AZE","Europe & Central Asia",2011,"Mean BMI, adults (age 18+)",24.2513980865479,"BMI"
"7","Belgium","BEL","Europe & Central Asia",2013,"Mean BMI, adults (age 18+)",25.4432601928711,"BMI"
"8","Bulgaria","BGR","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.7796936035156,"BMI"
"9","Bahrain","BHR","Middle East & North Africa",2007,"Mean BMI, adults (age 18+)",28.55,"BMI"
"10","Bermuda","BMU","NAC",2014,"Mean BMI, adults (age 18+)",29,"BMI"
"11","Bhutan","BTN","South Asia",2014,"Mean BMI, adults (age 18+)",24,"BMI"
"12","Central African Republic","CAF","Sub-Saharan Africa",2010,"Mean BMI, adults (age 18+)",22.3,"BMI"
"13","Cabo Verde","CPV","Sub-Saharan Africa",2007,"Mean BMI, adults (age 18+)",24.3,"BMI"
"14","Cayman Islands","CYM","Latin America & Caribbean",2012,"Mean BMI, adults (age 18+)",28.8,"BMI"
"15","Cyprus","CYP","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.3940372467041,"BMI"
"16","Czech Republic","CZE","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.3169002532959,"BMI"
"17","Dominica","DMA","Latin America & Caribbean",2008,"Mean BMI, adults (age 18+)",25.6,"BMI"
"18","Denmark","DNK","Europe & Central Asia",2015,"Mean BMI, adults (age 18+)",25.5874805450439,"BMI"
"19","Eritrea","ERI","Sub-Saharan Africa",2004,"Mean BMI, adults (age 18+)",21.3,"BMI"
"20","Spain","ESP","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.8525085449219,"BMI"
"21","Estonia","EST","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.3291416168213,"BMI"
"22","Finland","FIN","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.384449005127,"BMI"
"23","France","FRA","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.4140186309814,"BMI"
"24","United Kingdom","GBR","Europe & Central Asia",2013,"Mean BMI, adults (age 18+)",26.554027557373,"BMI"
"25","Georgia","GEO","Europe & Central Asia",2016,"Mean BMI, adults (age 18+)",28.1,"BMI"
"26","Greece","GRC","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.1163139343262,"BMI"
"27","Grenada","GRD","Latin America & Caribbean",2010,"Mean BMI, adults (age 18+)",27.1,"BMI"
"28","Croatia","HRV","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.230152130127,"BMI"
"29","Ireland","IRL","Europe & Central Asia",2015,"Mean BMI, adults (age 18+)",26.3712978363037,"BMI"
"30","Iran, Islamic Rep.","IRN","Middle East & North Africa",2011,"Mean BMI, adults (age 18+)",25.34,"BMI"
"31","Iraq","IRQ","Middle East & North Africa",2015,"Mean BMI, adults (age 18+)",28.1,"BMI"
"32","Iceland","ISL","Europe & Central Asia",2015,"Mean BMI, adults (age 18+)",26.4635772705078,"BMI"
"33","Italy","ITA","Europe & Central Asia",2015,"Mean BMI, adults (age 18+)",24.7775745391846,"BMI"
"34","Kenya","KEN","Sub-Saharan Africa",2015,"Mean BMI, adults (age 18+)",23.3,"BMI"
"35","Kiribati","KIR","East Asia & Pacific",2004,"Mean BMI, adults (age 18+)",29.1,"BMI"
"36","St. Kitts and Nevis","KNA","Latin America & Caribbean",2007,"Mean BMI, adults (age 18+)",30.2,"BMI"
"37","Kuwait","KWT","Middle East & North Africa",2014,"Mean BMI, adults (age 18+)",29.4,"BMI"
"38","Lebanon","LBN","Middle East & North Africa",2008,"Mean BMI, adults (age 18+)",27.5,"BMI"
"39","Libya","LBY","Middle East & North Africa",2009,"Mean BMI, adults (age 18+)",27.7,"BMI"
"40","St. Lucia","LCA","Latin America & Caribbean",2012,"Mean BMI, adults (age 18+)",28,"BMI"
"41","Lithuania","LTU","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.1413135528564,"BMI"
"42","Luxembourg","LUX","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.8787651062012,"BMI"
"43","Latvia","LVA","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.45041847229,"BMI"
"44","Marshall Islands","MHL","East Asia & Pacific",2002,"Mean BMI, adults (age 18+)",27.6,"BMI"
"45","Malta","MLT","Middle East & North Africa",2014,"Mean BMI, adults (age 18+)",27.1690216064453,"BMI"
"46","Norway","NOR","Europe & Central Asia",2015,"Mean BMI, adults (age 18+)",25.4768409729004,"BMI"
"47","Portugal","PRT","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.8965892791748,"BMI"
"48","French Polynesia","PYF","East Asia & Pacific",2010,"Mean BMI, adults (age 18+)",29.3,"BMI"
"49","Qatar","QAT","Middle East & North Africa",2012,"Mean BMI, adults (age 18+)",29.2,"BMI"
"50","Russian Federation","RUS","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.81858253479,"BMI"
"51","Solomon Islands","SLB","East Asia & Pacific",2006,"Mean BMI, adults (age 18+)",26.7,"BMI"
"52","Slovak Republic","SVK","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.867317199707,"BMI"
"53","Slovenia","SVN","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26.3005657196045,"BMI"
"54","Sweden","SWE","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",25.5890426635742,"BMI"
"55","Eswatini","SWZ","Sub-Saharan Africa",2014,"Mean BMI, adults (age 18+)",25.7,"BMI"
"56","Tonga","TON","East Asia & Pacific",2012,"Mean BMI, adults (age 18+)",33.1,"BMI"
"57","Uzbekistan","UZB","Europe & Central Asia",2014,"Mean BMI, adults (age 18+)",26,"BMI"
"58","Vanuatu","VUT","East Asia & Pacific",2011,"Mean BMI, adults (age 18+)",26.1,"BMI"
"59","Samoa","WSM","East Asia & Pacific",2002,"Mean BMI, adults (age 18+)",31.4,"BMI"
"60","Armenia","ARM","Europe & Central Asia",2016,"Mean diastolic blood pressure, adult population (mmHg)",83.8,"mmHg"
"61","Azerbaijan","AZE","Europe & Central Asia",2011,"Mean diastolic blood pressure, adult population (mmHg)",78.6853790283203,"mmHg"
"62","Bermuda","BMU","NAC",2014,"Mean diastolic blood pressure, adult population (mmHg)",80.1,"mmHg"
"63","Bhutan","BTN","South Asia",2014,"Mean diastolic blood pressure, adult population (mmHg)",85,"mmHg"
"64","Central African Republic","CAF","Sub-Saharan Africa",2010,"Mean diastolic blood pressure, adult population (mmHg)",82.1,"mmHg"
"65","Cabo Verde","CPV","Sub-Saharan Africa",2007,"Mean diastolic blood pressure, adult population (mmHg)",79.8,"mmHg"
"66","Cayman Islands","CYM","Latin America & Caribbean",2012,"Mean diastolic blood pressure, adult population (mmHg)",76.1,"mmHg"
"67","Eritrea","ERI","Sub-Saharan Africa",2004,"Mean diastolic blood pressure, adult population (mmHg)",77,"mmHg"
"68","Georgia","GEO","Europe & Central Asia",2016,"Mean diastolic blood pressure, adult population (mmHg)",82.2,"mmHg"
"69","Grenada","GRD","Latin America & Caribbean",2010,"Mean diastolic blood pressure, adult population (mmHg)",80.8,"mmHg"
"70","Iran, Islamic Rep.","IRN","Middle East & North Africa",2011,"Mean diastolic blood pressure, adult population (mmHg)",76.72,"mmHg"
"71","Iraq","IRQ","Middle East & North Africa",2015,"Mean diastolic blood pressure, adult population (mmHg)",82.8,"mmHg"
"72","Kenya","KEN","Sub-Saharan Africa",2015,"Mean diastolic blood pressure, adult population (mmHg)",80.7,"mmHg"
"73","Kuwait","KWT","Middle East & North Africa",2014,"Mean diastolic blood pressure, adult population (mmHg)",77.5,"mmHg"
"74","Lebanon","LBN","Middle East & North Africa",2008,"Mean diastolic blood pressure, adult population (mmHg)",77.3,"mmHg"
"75","Libya","LBY","Middle East & North Africa",2009,"Mean diastolic blood pressure, adult population (mmHg)",79.3,"mmHg"
"76","St. Lucia","LCA","Latin America & Caribbean",2012,"Mean diastolic blood pressure, adult population (mmHg)",78.7,"mmHg"
"77","Namibia","NAM","Sub-Saharan Africa",2013,"Mean diastolic blood pressure, adult population (mmHg)",82.7917404174805,"mmHg"
"78","Peru","PER","Latin America & Caribbean",2016,"Mean diastolic blood pressure, adult population (mmHg)",70.9855346679688,"mmHg"
"79","French Polynesia","PYF","East Asia & Pacific",2010,"Mean diastolic blood pressure, adult population (mmHg)",79.2,"mmHg"
"80","Qatar","QAT","Middle East & North Africa",2012,"Mean diastolic blood pressure, adult population (mmHg)",78.5,"mmHg"
"81","Solomon Islands","SLB","East Asia & Pacific",2006,"Mean diastolic blood pressure, adult population (mmHg)",69.8,"mmHg"
"82","Eswatini","SWZ","Sub-Saharan Africa",2014,"Mean diastolic blood pressure, adult population (mmHg)",79.7,"mmHg"
"83","Tonga","TON","East Asia & Pacific",2012,"Mean diastolic blood pressure, adult population (mmHg)",78.2,"mmHg"
"84","Uzbekistan","UZB","Europe & Central Asia",2014,"Mean diastolic blood pressure, adult population (mmHg)",81,"mmHg"
"85","Vanuatu","VUT","East Asia & Pacific",2011,"Mean diastolic blood pressure, adult population (mmHg)",79.5,"mmHg"
"86","Armenia","ARM","Europe & Central Asia",2016,"Mean systolic blood pressure, adult population (mmHg)",129.4,"mmHg"
"87","Azerbaijan","AZE","Europe & Central Asia",2011,"Mean systolic blood pressure, adult population (mmHg)",126.333488464355,"mmHg"
"88","Bermuda","BMU","NAC",2014,"Mean systolic blood pressure, adult population (mmHg)",123.5,"mmHg"
"89","Bhutan","BTN","South Asia",2014,"Mean systolic blood pressure, adult population (mmHg)",126.2,"mmHg"
"90","Central African Republic","CAF","Sub-Saharan Africa",2010,"Mean systolic blood pressure, adult population (mmHg)",128.1,"mmHg"
"91","Cabo Verde","CPV","Sub-Saharan Africa",2007,"Mean systolic blood pressure, adult population (mmHg)",133.3,"mmHg"
"92","Cayman Islands","CYM","Latin America & Caribbean",2012,"Mean systolic blood pressure, adult population (mmHg)",124.8,"mmHg"
"93","Eritrea","ERI","Sub-Saharan Africa",2004,"Mean systolic blood pressure, adult population (mmHg)",118.8,"mmHg"
"94","Georgia","GEO","Europe & Central Asia",2016,"Mean systolic blood pressure, adult population (mmHg)",129.4,"mmHg"
"95","Grenada","GRD","Latin America & Caribbean",2010,"Mean systolic blood pressure, adult population (mmHg)",130.9,"mmHg"
"96","Iran, Islamic Rep.","IRN","Middle East & North Africa",2011,"Mean systolic blood pressure, adult population (mmHg)",120.53,"mmHg"
"97","Iraq","IRQ","Middle East & North Africa",2015,"Mean systolic blood pressure, adult population (mmHg)",128.5,"mmHg"
"98","Kenya","KEN","Sub-Saharan Africa",2015,"Mean systolic blood pressure, adult population (mmHg)",124.4,"mmHg"
"99","Kuwait","KWT","Middle East & North Africa",2014,"Mean systolic blood pressure, adult population (mmHg)",120.7,"mmHg"
"100","Lebanon","LBN","Middle East & North Africa",2008,"Mean systolic blood pressure, adult population (mmHg)",124.3,"mmHg"
"101","Libya","LBY","Middle East & North Africa",2009,"Mean systolic blood pressure, adult population (mmHg)",132.9,"mmHg"
"102","St. Lucia","LCA","Latin America & Caribbean",2012,"Mean systolic blood pressure, adult population (mmHg)",125.9,"mmHg"
"103","Namibia","NAM","Sub-Saharan Africa",2013,"Mean systolic blood pressure, adult population (mmHg)",124.510673522949,"mmHg"
"104","Peru","PER","Latin America & Caribbean",2016,"Mean systolic blood pressure, adult population (mmHg)",121.413703918457,"mmHg"
"105","French Polynesia","PYF","East Asia & Pacific",2010,"Mean systolic blood pressure, adult population (mmHg)",124.8,"mmHg"
"106","Qatar","QAT","Middle East & North Africa",2012,"Mean systolic blood pressure, adult population (mmHg)",118,"mmHg"
"107","Solomon Islands","SLB","East Asia & Pacific",2006,"Mean systolic blood pressure, adult population (mmHg)",114.3,"mmHg"
"108","Eswatini","SWZ","Sub-Saharan Africa",2014,"Mean systolic blood pressure, adult population (mmHg)",124,"mmHg"
"109","Tonga","TON","East Asia & Pacific",2012,"Mean systolic blood pressure, adult population (mmHg)",129.2,"mmHg"
"110","Uzbekistan","UZB","Europe & Central Asia",2014,"Mean systolic blood pressure, adult population (mmHg)",127.1,"mmHg"
"111","Vanuatu","VUT","East Asia & Pacific",2011,"Mean systolic blood pressure, adult population (mmHg)",129.3,"mmHg"
"112","Azerbaijan","AZE","Europe & Central Asia",2011,"Treated for high blood pressure (% of adult population)",0.142592117190361,"%"
"113","Namibia","NAM","Sub-Saharan Africa",2013,"Treated for high blood pressure (% of adult population)",0.127590417861938,"%"
"114","Azerbaijan","AZE","Europe & Central Asia",2011,"Cholesterol measured in last five years (% of population at risk of high cholesterol)",0.274908512830734,"%"
