year,month,day_of_month,day_of_year,year_dec,frac_of_year,CO2
1974,5,26,145.488999999995,1974.3986,0.398599999999988,332.95
1974,6,2,152.496999999979,1974.4178,0.417799999999943,332.35
1974,6,9,159.504999999963,1974.437,0.436999999999898,332.2
1974,6,16,166.513000000029,1974.4562,0.456200000000081,332.37
1974,6,23,173.484500000022,1974.4753,0.475300000000061,331.73
1974,6,30,180.492500000006,1974.4945,0.494500000000016,331.68
1974,7,7,187.50049999999,1974.5137,0.513699999999972,331.46
1974,7,14,194.508499999973,1974.5329,0.532899999999927,330.83
1974,7,21,201.51650000004,1974.5521,0.55210000000011,330.76
1974,7,28,208.488000000033,1974.5712,0.57120000000009,329.8
1974,8,4,215.496000000016,1974.5904,0.590400000000045,329.85
1974,8,11,222.504,1974.6096,0.6096,329.15
1974,8,18,229.511999999984,1974.6288,0.628799999999956,329.06
1974,8,25,236.483499999977,1974.6479,0.647899999999936,328.33
1974,9,1,243.49149999996,1974.6671,0.667099999999891,328.06
1974,9,8,250.499500000027,1974.6863,0.686300000000074,327.56
1974,9,15,257.507500000011,1974.7055,0.705500000000029,326.72
1974,9,22,264.515499999994,1974.7247,0.724699999999984,326.99
1974,9,29,271.486999999987,1974.7438,0.743799999999965,327.31
1974,10,6,278.494999999971,1974.763,0.76299999999992,327.07
1974,10,13,285.503000000037,1974.7822,0.782200000000103,327.23
1974,10,20,292.511000000021,1974.8014,0.801400000000058,327.4
1974,10,27,299.482500000014,1974.8205,0.820500000000038,327.64
1974,11,3,306.490499999998,1974.8397,0.839699999999993,327.8
1974,11,10,313.498499999981,1974.8589,0.858899999999949,328.5
1974,11,17,320.506499999965,1974.8781,0.878099999999904,328.61
1974,11,24,327.514500000032,1974.8973,0.897300000000087,328.46
1974,12,1,334.486000000024,1974.9164,0.916400000000067,328.8
1974,12,8,341.494000000008,1974.9356,0.935600000000022,329.39
1974,12,15,348.501999999992,1974.9548,0.954799999999977,329.78
1974,12,22,355.509999999975,1974.974,0.973999999999933,329.96
1974,12,29,362.517999999959,1974.9932,0.993199999999888,330.38
1975,1,5,4.48950000003492,1975.0123,0.0123000000000957,330.49
1975,1,12,11.4975000000186,1975.0315,0.0315000000000509,330.59
1975,1,19,18.5055000000023,1975.0507,0.0507000000000062,330.79
1975,1,26,25.5134999999859,1975.0699,0.0698999999999614,331.24
1975,2,2,32.4849999999788,1975.089,0.0889999999999418,331.64
1975,2,9,39.4929999999624,1975.1082,0.108199999999897,331.11
1975,2,16,46.5010000000291,1975.1274,0.12740000000008,331.42
1975,2,23,53.5090000000127,1975.1466,0.146600000000035,331.96
1975,3,2,60.5169999999964,1975.1658,0.16579999999999,331.77
1975,3,9,67.4884999999892,1975.1849,0.184899999999971,331.64
1975,3,16,74.4964999999729,1975.2041,0.204099999999926,332.11
1975,3,23,81.5045000000396,1975.2233,0.223300000000108,331.9
