word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
abacus,0,0,0,0,0,0,0,0,0,1
abandon,0,0,0,1,0,1,0,1,0,0
abandoned,1,0,0,1,0,1,0,1,0,0
abandonment,1,0,0,1,0,1,0,1,1,0
abba,0,0,0,0,0,0,1,0,0,0
abbot,0,0,0,0,0,0,0,0,0,1
abduction,0,0,0,1,0,1,0,1,1,0
aberrant,0,0,0,0,0,1,0,0,0,0
aberration,0,0,1,0,0,1,0,0,0,0
abhor,1,0,1,1,0,1,0,0,0,0
abhorrent,1,0,1,1,0,1,0,0,0,0
ability,0,0,0,0,0,0,1,0,0,0
abject,0,0,1,0,0,1,0,0,0,0
abnormal,0,0,1,0,0,1,0,0,0,0
abolish,1,0,0,0,0,1,0,0,0,0
abolition,0,0,0,0,0,1,0,0,0,0
abominable,0,0,1,1,0,1,0,0,0,0
abomination,1,0,1,1,0,1,0,0,0,0
abort,0,0,0,0,0,1,0,0,0,0
abortion,0,0,1,1,0,1,0,1,0,0
abortive,0,0,0,0,0,1,0,1,0,0
abovementioned,0,0,0,0,0,0,1,0,0,0
abrasion,0,0,0,0,0,1,0,0,0,0
abrogate,0,0,0,0,0,1,0,0,0,0
abrupt,0,0,0,0,0,0,0,0,1,0
abscess,0,0,0,0,0,1,0,1,0,0
absence,0,0,0,1,0,1,0,1,0,0
absent,0,0,0,0,0,1,0,1,0,0
absentee,0,0,0,0,0,1,0,1,0,0
absenteeism,0,0,0,0,0,1,0,0,0,0
absolute,0,0,0,0,0,0,1,0,0,0
absolution,0,0,0,0,1,0,1,0,0,1
absorbed,0,0,0,0,0,0,1,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0
absurdity,0,0,0,0,0,1,0,0,0,0
abundance,0,1,1,0,1,1,1,0,0,1
abundant,0,0,0,0,1,0,1,0,0,0
abuse,1,0,1,1,0,1,0,1,0,0
abysmal,0,0,0,0,0,1,0,1,0,0
abyss,0,0,0,1,0,1,0,1,0,0
academic,0,0,0,0,0,0,1,0,0,1
academy,0,0,0,0,0,0,1,0,0,0
accelerate,0,1,0,0,0,0,0,0,0,0
acceptable,0,0,0,0,0,0,1,0,0,0
acceptance,0,0,0,0,0,0,1,0,0,0
accessible,0,0,0,0,0,0,1,0,0,0
accident,0,0,0,1,0,1,0,1,1,0
accidental,0,0,0,1,0,1,0,0,1,0
accidentally,0,0,0,0,0,0,0,0,1,0
accolade,0,1,0,0,1,0,1,0,1,1
accommodation,0,0,0,0,0,0,1,0,0,0
accompaniment,0,1,0,0,1,0,1,0,0,1
accomplish,0,0,0,0,1,0,1,0,0,0
accomplished,0,0,0,0,1,0,1,0,0,0
accomplishment,0,0,0,0,0,0,1,0,0,0
accord,0,0,0,0,0,0,1,0,0,1
account,0,0,0,0,0,0,0,0,0,1
accountability,0,0,0,0,0,0,1,0,0,1
accountable,0,0,0,0,0,0,1,0,0,1
accountant,0,0,0,0,0,0,0,0,0,1
accounts,0,0,0,0,0,0,0,0,0,1
accredited,0,0,0,0,0,0,1,0,0,1
accueil,0,0,0,0,0,0,1,0,0,0
accurate,0,0,0,0,0,0,1,0,0,1
accursed,1,0,0,1,0,1,0,1,0,0
accusation,1,0,1,0,0,1,0,0,0,0
accusative,0,0,0,0,0,1,0,0,0,0
accused,1,0,0,1,0,1,0,0,0,0
accuser,1,0,0,1,0,1,0,0,0,0
accusing,1,0,0,1,0,1,0,0,0,0
ace,0,0,0,0,0,0,1,0,0,0
ache,0,0,0,0,0,1,0,1,0,0
achieve,0,0,0,0,1,0,1,0,0,1
achievement,0,1,0,0,1,0,1,0,0,1
aching,0,0,0,0,0,1,0,1,0,0
acid,0,0,0,0,0,1,0,0,0,0
acknowledgment,0,0,0,0,0,0,1,0,0,0
acquire,0,0,0,0,0,0,1,0,0,0
acquiring,0,1,0,0,0,0,1,0,0,0
acrobat,0,0,0,1,1,0,1,0,0,1
action,0,0,0,0,0,0,1,0,0,0
actionable,1,0,1,0,0,1,0,0,0,0
actual,0,0,0,0,0,0,1,0,0,0
acuity,0,0,0,0,0,0,1,0,0,0
acumen,0,0,0,0,0,0,1,0,0,0
adapt,0,0,0,0,0,0,1,0,0,0
adaptable,0,0,0,0,0,0,1,0,0,0
adder,1,0,1,1,0,1,0,1,0,0
addiction,0,0,0,0,0,1,0,0,0,0
addresses,0,1,0,0,0,0,1,0,0,0
adept,0,0,0,0,0,0,1,0,0,0
adequacy,0,0,0,0,0,0,1,0,0,0
adhering,0,0,0,0,0,0,0,0,0,1
adipose,0,0,0,0,0,1,0,0,0,0
adjudicate,0,0,0,1,0,1,0,0,0,0
adjunct,0,0,0,0,0,0,1,0,0,0
administrative,0,0,0,0,0,0,0,0,0,1
admirable,0,0,0,0,1,0,1,0,0,1
admiral,0,0,0,0,0,0,1,0,0,1
admiration,0,0,0,0,1,0,1,0,0,1
admire,0,0,0,0,0,0,1,0,0,1
admirer,0,0,0,0,0,0,1,0,0,0
admissible,0,0,0,0,0,0,1,0,0,1
admonition,0,0,0,1,0,1,0,0,0,0
adorable,0,0,0,0,1,0,1,0,0,0
adoration,0,0,0,0,1,0,1,0,0,1
adore,0,1,0,0,1,0,1,0,0,1
adrift,0,1,0,1,0,1,0,1,0,0
adulterated,0,0,0,0,0,1,0,0,0,0
adultery,0,0,1,0,0,1,0,1,0,0
advance,0,1,0,1,1,0,1,0,1,0
advanced,0,0,0,0,0,0,1,0,0,0
advancement,0,0,0,0,0,0,1,0,0,0
advantage,0,0,0,0,0,0,1,0,0,0
advantageous,0,0,0,0,0,0,1,0,0,0
advent,0,1,0,0,1,0,1,0,0,1
adventure,0,1,0,0,0,0,1,0,0,0
adventurous,0,0,0,0,0,0,1,0,0,0
adversary,1,0,0,0,0,1,0,0,0,0
adverse,1,0,1,1,0,1,0,1,0,0
adversity,1,0,0,1,0,1,0,1,0,0
advice,0,0,0,0,0,0,0,0,0,1
advisable,0,0,0,0,0,0,1,0,0,1
advise,0,0,0,0,0,0,1,0,0,1
advised,0,0,0,0,0,0,0,0,0,1
adviser,0,0,0,0,0,0,1,0,0,1
advocacy,1,1,0,0,1,0,1,0,0,1
advocate,0,0,0,0,0,0,0,0,0,1
aesthetic,0,0,0,0,0,0,1,0,0,0
aesthetics,0,0,0,0,1,0,1,0,0,0
affable,0,0,0,0,0,0,1,0,0,0
affection,0,0,0,0,1,0,1,0,0,1
affiliated,0,0,0,0,0,0,1,0,0,0
affirm,0,0,0,0,0,0,1,0,0,1
affirmation,0,0,0,0,0,0,1,0,0,0
