state,population
California,39512223
Texas,28995881
Florida,21477737
New York,19453561
Illinois,12671821
Pennsylvania,12801989
Georgia,10617423
Ohio,11689100
New Jersey,8882190
North Carolina,10488084
Michigan,9986857
Arizona,7278717
Tennessee,6829174
Indiana,6732219
Massachusetts,6892503
Virginia,8535519
Wisconsin,5822434
Missouri,6137428
Minnesota,5639632
South Carolina,5148714
Colorado,5758736
Alabama,4903185
Louisiana,4648794
Kentucky,4467673
Maryland,6045680
Oklahoma,3956971
Washington,7614893
Utah,3205958
Iowa,3155070
Connecticut,3565287
Arkansas,3017804
Nevada,3080156
Mississippi,2976149
Kansas,2913314
Nebraska,1934408
Oregon,4217737
New Mexico,2096829
Idaho,1787065
West Virginia,1792147
Rhode Island,1059361
South Dakota,884659
Montana,1068778
North Dakota,762062
Delaware,973764
New Hampshire,1359711
Maine,1344212
Alaska,731545
Wyoming,578759
Hawaii,1415872
Vermont,623989
