id,species,behavior,prey.volume,prey.depth,dive.time,surface.time,blow.interval,blow.number
20140811103,HW,FEED,NA,NA,NaN,NaN,15,9
20140811104,HW,FEED,7.683718641,118.75,455,NaN,23.571,11
20140811106,HW,FEED,6.91461023,120.76,351,237,26.833,10
20140812102,HW,OTHER,7.635029646,80.43,454,NaN,12.889,NaN
20140812103,HW,OTHER,8.218837397,77.71,NaN,NaN,10,NaN
20140812104,HW,FEED,7.854761658,79.02,281,87,14.412,6.667
20140812107,HW,FEED,7.385667056,96.92,300.25,80,16,6
20140812108,HW,FEED,7.655635501,108.91,NaN,NaN,17.667,NaN
20140812109,FW,FEED,6.626297794,105.87,366,189,16.273,12
20140812111,HW,FEED,NA,NA,NaN,NaN,20.444,NaN
20140812112,HW,OTHER,4.322715759,113.98,NaN,NaN,59.111,NaN
20140812114,HW,FEED,NA,NA,NaN,NaN,17.75,NaN
20140812115,HW,FEED,6.169610732,100.51,NaN,105,15.667,7
20140812116,HW,FEED,-1,NA,486,266,18.615,16
20140812120,HW,OTHER,4.923339513,106.17,496,NaN,21.667,NaN
20140812122,HW,OTHER,5.473210988,107.69,NaN,NaN,25,NaN
20140812127,HW,OTHER,4.611378872,118.61,NaN,NaN,36.95,NaN
20140812130,HW,OTHER,6.356473913,123.95,284,NaN,NaN,NaN
20140812131,HW,OTHER,6.356473913,123.95,357,112,25.25,6
20140812140,FW,FEED,3.820782334,125.51,408,182,18.789,11
20140812141,FW,FEED,5.022170507,118.51,395,221,NaN,NaN
20140813105,HW,FEED,7.472342631,104.13,365,52,18.61,4.5
20140813107,HW,FEED,3.261088212,100.19,338,20,33.322,1
20140813111,FW,OTHER,5.962066117,82.94,290,107.333,18.714,6.333
20140813115,HW,FEED,6.989642408,84.69,NaN,NaN,24.714,11
20140813117,FW,FEED,3.813117169,124.34,395.333,195.667,21.611,8.5
20140813122,HW,OTHER,-1,NA,244.5,187.5,40.111,5.5
20140814101,HW,FEED,6.087833711,95.1,399.5,114.5,15.444,14
20140814102,HW,FEED,6.087833711,95.1,429,143.5,14.944,10.5
20140814103,HW,FEED,7.282568721,88.14,373,100,14.091,8
20140814104,FW,OTHER,3.179885485,90.49,442,71,22.667,4
20140817101,HW,OTHER,6.015181074,85.82,NaN,55.5,12,5.5
20140817102,HW,OTHER,NA,NA,NaN,NaN,22.8,NaN
20140818101,HW,FEED,NA,NA,192.25,57.375,22.429,3
20140819101,HW,OTHER,6.557691717,93.53,225.167,79.167,16.489,6.167
20140819102,HW,FEED,6.701414271,92.39,412.5,166.5,21.597,9
20140819103,HW,FEED,6.747615869,97.77,454,118,23.75,6
20140819106,HW,OTHER,6.093103973,135.02,19,58,14.714,4.5
20140819108,HW,FEED,NA,NA,778,94,14.238,6.8
20140819110,HW,FEED,NA,NA,230,52.167,16.472,3.833
20140819112,HW,FEED,7.414180154,67.55,96,107.75,16.5,4.167
20140819113,HW,OTHER,NA,NA,151,NaN,18,NaN
20140819115,HW,FEED,7.823818505,63.09,75.25,31,24,2
20140820101,HW,OTHER,6.947309398,79.41,364,NaN,18.5,NaN
20140821102,FW,OTHER,4.98371278,119.44,123,82.5,27.167,4
