Species.ID,bhvr,PreyVolume,PreyDepth,Dive_Time,Surfacetime,Blow.Interval,Blow_number_count,YEAR,Month,Day,sit
HW,FEED,7.829440872,91.42,233.625,126.375,20.091,6.25,15,8,9,Sighting 409
HW,OTHER,5.115088999,118.52,NA,NA,NA,NA,15,7,14,Sighting 309
HW,FEED,7.472342631,104.13,365,52,18.61,4.5,2014,8,13,Sighting 105
HW,OTHER,6.62435111,71.27,NA,63,18.5,3,15,5,30,Sighting 112
HW,OTHER,2.476025664,117.17,368,136,31.455,4.667,2014,9,4,Sighting 201
HW,OTHER,4.601786468,133,34.333,155.75,27.591,6.25,15,6,13,Sighting 105
HW,FEED,3.232968061,34.08,69,NA,6.5,NA,2014,9,10,Sighting 219
HW,OTHER,4.534893634,126.97,NA,333,46.286,8,15,8,5,Sighting 407
FW,FEED,5.022170507,118.51,395,221,NA,NA,2014,8,12,Sighting 141
HW,FEED,6.701414271,92.39,412.5,166.5,21.597,9,2014,8,19,Sighting 102
HW,FEED,7.961021466,75.1,140.25,73.5,13.4,5.667,2014,8,24,Sighting 102
HW,OTHER,NA,NA,NA,62,13.625,5,2014,8,27,Sighting 128
HW,FEED,5.92732408,151.79,NA,140,19.667,9,15,7,18,Sighting 305
HW,OTHER,3.101995881,162.78,184.5,145,34.977,5,15,8,2,Sighting 413
HW,OTHER,6.77338319,116.56,280,83,13.333,7,15,8,15,Sighting 405
HW,FEED,6.747615869,97.77,454,118,23.75,6,2014,8,19,Sighting 103
HW,OTHER,NA,NA,NA,NA,43.857,NA,2014,8,25,Sighting 107
HW,FEED,6.421308723,147.49,NA,123,16.857,10,15,7,12,Sighting 302
HW,FEED,7.820529234,95.06,329,134.5,14.836,10,15,6,9,Sighting 111
HW,OTHER,8.218837397,77.71,NA,NA,10,NA,2014,8,12,Sighting 103
HW,OTHER,7.971390645,96.93,294,94,22.5,5,15,5,28,Sighting 107
Hw,other,4.923339513,106.17,496,NA,21.667,NA,2014,8,12,Sighting 120
HW,FEED,4.95152698,141.24,496,74,23.5,3.5,15,6,27,Sighting 204
FW,FEED,4.759621106,124.66,430.75,151.459,19.267,9.541,2014,9,4,Sighting 202
HW,OTHER,4.72025269,115.78,391.5,199.5,27.73,8,2014,9,2,Sighting 202
HW,OTHER,6.573854733,129.25,NA,NA,32,NA,15,6,21,Sighting 214
HW,OTHER,3.069187175,81.06,40.125,39,27.538,2.286,15,6,10,Sighting 112
HW,FEED,3.540005246,109.05,1058,94,17.2,6,15,6,9,Sighting 112
HW,OTHER,-1,NA,NA,NA,57,NA,15,7,21,Sighting 304
HW,FEED,5.667916927,128.22,NA,NA,32,NA,2014,8,28,Sighting 107
HW,FE,NA,NA,146.584,46.166,33.333,2,15,7,7,Sighting 202
HW,FEED,5.345861517,103.93,82.625,9.75,28.75,1.25,2014,9,7,Sighting 206
HW,FEED,4.282983622,80.98,222,183,25.571,8.5,15,7,13,Sighting 312
HW,FEED,6.945265877,114.19,372,108,13.714,9,2014,9,7,Sighting 212
HW,FEED,-1,NA,115,132,NA,1,15,9,2,Sighting 503
HW,OTHER,NA,NA,NA,145,34.452,5.667,15,7,25,Sighting 301
HW,FEED,NA,NA,192.25,57.375,22.429,3,2014,8,18,Sighting 101
HW,FEED,7.829440872,91.42,233.625,126.375,20.091,6.25,15,8,9,Sighting 409
HW,FEED,7.597152437,90.02,221,2.667,NA,1,2014,9,6,Sighting 203
HW,FEED,5.63062523,92.88,216,93.333,23.818,4.667,15,5,28,Sighting 101
HW,OTHER,4.72025269,115.78,391.5,199.5,27.73,8,2014,9,2,Sighting 202
HW,FEED,-1,NA,452,121,14,10,15,8,5,Sighting 408
HW,OTHER,4.85803408,57.78,235,121.5,26.556,5.5,15,9,14,Sighting 509
HW,FEED,5.344830655,101.96,442,178,24.571,8,2014,9,6,Sighting 213
HW,OTHER,4.52787869,134.39,NA,NA,45.559,NA,15,7,23,Sighting 304
HW,FEED,7.710569315,112.68,NA,109,15,8,2014,9,11,Sighting 203
HW,OTHER,7.417534215,129.46,NA,NA,NA,NA,15,7,5,Sighting 204
Hw,FEED,6.91461023,120.76,351,237,26.833,10,2014,8,11,Sighting 106
FinWhale,FEED,5.77381525,115.92,339,97,26.65,4.5,15,8,23,Sighting 402
FW,FEED,NA,NA,NA,67,36.5,2,2014,8,22,Sighting 103
FW,FEED,7.86681427,95.04,367.5,119.667,15.455,7.5,15,6,21,Sighting 211
HW,OTHER,6.528755845,71.55,NA,78,14.4,6,15,6,9,Sighting 115
FW,FEED,6.662867399,60.3,360,NA,NA,NA,15,6,21,Sighting 203
FW,FEED,NA,NA,596,107,86.444,7,2014,8,25,Sighting 113
